회계법인,감사기업수,비중(%)
삼일회계법인(삼일PwC),422,14.1
삼정회계법인(삼정KPMG),335,11.2
한영회계법인(한영EY),230,7.7
안진회계법인(안진Deloitte),144,4.8
기타(4대회계법인 외),1866,62.3
합계(감사인 확인됨),2997,100.0
데이터 미확인(미상장전환/최근상장 등),980,
