,"[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231
20,entity00139214_GainslossesonloansandreceivablesOfInvestmentIncome,대출채권및기타수취채권관련이익,GainsLossesOnLoansAndReceivables,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업수익,대출채권및기타수취채권관련이익,0.0,0.0,45719855.0,0.0
21,dart_GainFromDerivatives,파생상품거래및평가이익,Gain from derivatives,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업수익,파생상품거래및평가이익,25897178997.0,138196612419.0,164058439834.0,30081285620.0
22,dart_ReversalsOfImpairmentLossesOfFinancialAssets,신용손실충당금 환입액,Reversals of impairment losses of financial assets,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업수익,신용손실충당금 환입액,19600625965.0,38553440397.0,0.0,0.0
23,entity00139214_ReversalsOfImpairmentLossesOfInvestmentIncome,손상차손환입액,Reversals Of Impairment Losses,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업수익,손상차손환입액,0.0,0.0,66118534.0,320370118.0
24,ifrs-full_ForeignExchangeGain,외환거래이익,Foreign exchange gain,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업수익,외환거래이익,1130852906213.0,368531824596.0,425886942392.0,358505606683.0
25,dart_OtherOperatingIncomeInvestment,기타투자수익,"Other operating income, investment",ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업수익,기타투자수익,569030318269.0,403257986808.0,114718831388.0,86356052467.0
26,dart_OperatingExpenseInvestment,투자영업비용,"Operating expense, investment",ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업비용,,4002471900365.0,3383452377545.0,3065015463886.0,775693578821.0
27,dart_InsuranceFinanceExpensesFromInsuranceContractsIssuedRecognisedInProfitOrLoss,보험금융비용,Insurance finance expenses from insurance contracts issued recognised in profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업비용,보험금융비용,1548588796799.0,1601510630133.0,1797570170003.0,0.0
28,dart_FinanceExpensesFromReinsuranceContractsHeldRecognisedInProfitOrLoss,재보험금융비용,Finance expenses from reinsurance contracts held recognised in profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업비용,재보험금융비용,48762234094.0,53052301377.0,73969538618.0,0.0
29,ifrs-full_InterestExpense,이자비용,Interest expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업비용,이자비용,457189081885.0,445160420333.0,301080534447.0,59175208865.0
30,dart_LossFromFinancialInstrumentsAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융상품관련손실,Loss from financial instruments at fair value through profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업비용,당기손익-공정가치측정금융상품관련손실,244776950230.0,302106200680.0,0.0,0.0
31,entity00139214_LossesFromFairValueFinancialAssetOfOperatingExpenseInvestment,당기손익인식금융자산관련손실,Losses From Fair Value Financial Asset,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업비용,당기손익인식금융자산관련손실,0.0,0.0,47291774319.0,0.0
32,dart_LossFromFinancialInstrumentsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융상품관련손실,Loss from financial instruments at fair value through other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업비용,기타포괄손익-공정가치측정금융상품관련손실,247170244500.0,278124544358.0,0.0,0.0
33,entity00139214_LossesFromAvailableForSaleFinancialAssetsOfOperatingExpenseInvestment,매도가능금융자산관련손실,Losses From Available For Sale Financial Assets,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업비용,매도가능금융자산관련손실,0.0,0.0,115549741092.0,0.0
34,dart_LossArisingFromDerecognitionOfFinancialInstrumentsMeasuredAtAmortisedCost,상각후원가측정금융상품제거손실,Loss arising from derecognition of financial instruments measured at amortisedCost,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업비용,상각후원가측정금융상품제거손실,879410066.0,726602764.0,0.0,0.0
35,entity00139214_LossesonloansandreceivablesOfOperatingExpenseInvestment,대출채권및기타수취채권관련손실,LossesOnLoansAndReceivables,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업비용,대출채권및기타수취채권관련손실,0.0,0.0,197687184.0,0.0
36,dart_LossesFromDerivatives,파생상품거래및평가손실,Losses from derivatives,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업비용,파생상품거래및평가손실,1069191135254.0,396854361987.0,351564673723.0,345196553393.0
37,dart_AdditionalImpairmentLossesOfFinancialAssets,신용손실충당금 전입액,Additional impairment losses of financial assets,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업비용,신용손실충당금 전입액,148821986569.0,19260655738.0,0.0,0.0
38,entity00139214_AdditionalImpairmentLossesOfOperatingExpenseInvestment,손상차손전입액,Additional Impairment Losses,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업비용,손상차손전입액,0.0,0.0,44305526969.0,56181111449.0
39,ifrs-full_SellingGeneralAndAdministrativeExpense,재산관리비,"Selling, general and administrative expense",ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업비용,재산관리비,69059754856.0,63602364342.0,51565664699.0,168366996387.0
40,ifrs-full_ForeignExchangeLoss,외환거래손실,Foreign exchange loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업비용,외환거래손실,85914819167.0,147208905851.0,215843285637.0,54196340817.0
