,"[DB520000] 현금흐름표, 은행 - 연결 | Statement of Cash Flows, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB520000] 현금흐름표, 은행 - 연결 | Statement of Cash Flows, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB520000] 현금흐름표, 은행 - 연결 | Statement of Cash Flows, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB520000] 현금흐름표, 은행 - 연결 | Statement of Cash Flows, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB520000] 현금흐름표, 은행 - 연결 | Statement of Cash Flows, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB520000] 현금흐름표, 은행 - 연결 | Statement of Cash Flows, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB520000] 현금흐름표, 은행 - 연결 | Statement of Cash Flows, Deposit Based - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
17,entity00149646_ProceedsFromSalesOfInvestmentPropertyAndPropertyPlantAndEquipmentOfCashFlowsFromUsedInInvestingActivities,투자부동산 및 유형자산의 처분,"Proceeds from sales of investment property and property, plant and equipment",ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름,투자활동으로 인한 순현금흐름,투자부동산 및 유형자산의 처분,5992000000.0,30169000000.0,8519000000.0,6417000000.0
18,entity00149646_PurchaseOfInvestmentPropertyAndPropertyPlantAndEquipmentOfCashFlowsFromUsedInInvestingActivities,투자부동산 및 유형자산의 취득,"Purchase of investment property and property, plant and equipment",ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름,투자활동으로 인한 순현금흐름,투자부동산 및 유형자산의 취득,-322866000000.0,-192407000000.0,-157943000000.0,-151782000000.0
19,ifrs-full_ProceedsFromSalesOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 처분,Proceeds from sales of intangible assets,ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름,투자활동으로 인한 순현금흐름,무형자산의 처분,4571000000.0,6016000000.0,1053000000.0,3750000000.0
20,ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,Purchase of intangible assets,ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름,투자활동으로 인한 순현금흐름,무형자산의 취득,-130322000000.0,-109994000000.0,-63915000000.0,-54095000000.0
21,ifrs-full_ProceedsFromGovernmentGrantsClassifiedAsInvestingActivities,정부보조금 수취,"Proceeds from government grants, classified as investing activities",ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름,투자활동으로 인한 순현금흐름,정부보조금 수취,0.0,0.0,307000000.0,0.0
22,ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동으로 인한 순현금흐름,Cash flows from (used in) financing activities,ifrs-full:StatementOfCashFlowsAbstract,재무활동현금흐름,재무활동으로 인한 순현금흐름,,12849844000000.0,6404562000000.0,28710261000000.0,17117762000000.0
23,entity00149646_IncreaseDecreaseInBorrowingsOfCashFlowsFromUsedInFinancingActivities,차입부채의 순증가(감소),Increase (decrease) in borrowings,ifrs-full:StatementOfCashFlowsAbstract,재무활동현금흐름,재무활동으로 인한 순현금흐름,차입부채의 순증가(감소),3176324000000.0,-8348574000000.0,6118966000000.0,4971460000000.0
24,ifrs-full_ProceedsFromIssueOfBondsNotesAndDebentures,사채의 증가,"Proceeds from issue of bonds, notes and debentures",ifrs-full:StatementOfCashFlowsAbstract,재무활동현금흐름,재무활동으로 인한 순현금흐름,사채의 증가,220871487000000.0,212487409000000.0,204353260000000.0,145183137000000.0
25,ifrs-full_RepaymentsOfBondsNotesAndDebentures,사채의 감소,"Repayments of bonds, notes and debentures",ifrs-full:StatementOfCashFlowsAbstract,재무활동현금흐름,재무활동으로 인한 순현금흐름,사채의 감소,-210438959000000.0,-197259291000000.0,-181001062000000.0,-132952471000000.0
26,ifrs-full_PaymentsOfLeaseLiabilitiesClassifiedAsFinancingActivities,리스부채의 상환,"Payments of lease liabilities, classified as financing activities",ifrs-full:StatementOfCashFlowsAbstract,재무활동현금흐름,재무활동으로 인한 순현금흐름,리스부채의 상환,-82477000000.0,-80693000000.0,-82004000000.0,-74508000000.0
