,"[DS220000] 재무상태표, 증권 - 연결 | Statement of Financial Position, Securities Based - Consolidated financial statements (Unit: KRW)","[DS220000] 재무상태표, 증권 - 연결 | Statement of Financial Position, Securities Based - Consolidated financial statements (Unit: KRW)","[DS220000] 재무상태표, 증권 - 연결 | Statement of Financial Position, Securities Based - Consolidated financial statements (Unit: KRW)","[DS220000] 재무상태표, 증권 - 연결 | Statement of Financial Position, Securities Based - Consolidated financial statements (Unit: KRW)","[DS220000] 재무상태표, 증권 - 연결 | Statement of Financial Position, Securities Based - Consolidated financial statements (Unit: KRW)","[DS220000] 재무상태표, 증권 - 연결 | Statement of Financial Position, Securities Based - Consolidated financial statements (Unit: KRW)","[DS220000] 재무상태표, 증권 - 연결 | Statement of Financial Position, Securities Based - Consolidated financial statements (Unit: KRW)","[DS220000] 재무상태표, 증권 - 연결 | Statement of Financial Position, Securities Based - Consolidated financial statements (Unit: KRW)","[DS220000] 재무상태표, 증권 - 연결 | Statement of Financial Position, Securities Based - Consolidated financial statements (Unit: KRW)",20251231,20241231,20231231
,concept_id,label_ko,label_en,class0,class1,class2,class3,class4,class5,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
29,ifrs-full_EquityAttributableToOwnersOfParent,지배주주지분,Equity attributable to owners of parent,재무상태표 [개요],부채와 자본,자본,지배주주지분,,,1132470877280.0,1051376155736.0,1011904699588.0
30,ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [개요],부채와 자본,자본,지배주주지분,자본금,,537592090000.0,537592090000.0,537592090000.0
31,dart_CapitalSurplus,자본잉여금,Capital surplus,재무상태표 [개요],부채와 자본,자본,지배주주지분,자본잉여금,,1327430780.0,1327430780.0,1327430780.0
32,dart_CapitalAdjustments,자본조정,Capital adjustments,재무상태표 [개요],부채와 자본,자본,지배주주지분,자본조정,,-10803919723.0,-10803919723.0,-10803919723.0
33,ifrs-full_AccumulatedOtherComprehensiveIncome,기타포괄손익누계액,Accumulated other comprehensive income,재무상태표 [개요],부채와 자본,자본,지배주주지분,기타포괄손익누계액,,161686136774.0,135819214358.0,139809312881.0
34,ifrs-full_RetainedEarnings,이익잉여금,Retained earnings,재무상태표 [개요],부채와 자본,자본,지배주주지분,이익잉여금,,442669139449.0,387441340321.0,343979785650.0
35,dart_RegulatoryReserveForCreditLoss,대손준비금 기적립액,Regulatory reserve for credit loss,재무상태표 [개요],부채와 자본,자본,지배주주지분,이익잉여금,대손준비금 기적립액,13486982549.0,3707212432.0,13921223709.0
36,dart_RegulatoryReserveForCreditLossToBeAddedReversed,대손준비금 적립(환입)예정액,Regulatory reserve for credit loss to be added (reversed),재무상태표 [개요],부채와 자본,자본,지배주주지분,이익잉여금,대손준비금 적립(환입)예정액,-13386198419.0,9779770117.0,-10214011277.0
37,ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [개요],부채와 자본,자본,비지배지분,,,0.0,0.0,0.0
38,ifrs-full_Equity,자본총계,Total equity,재무상태표 [개요],부채와 자본,자본,자본총계,,,1132470877280.0,1051376155736.0,1011904699588.0
39,ifrs-full_EquityAndLiabilities,부채와자본총계,Total liabilities and equity,재무상태표 [개요],부채와 자본,부채와자본총계,,,,11049028363321.0,9646708149349.0,8699332043240.0
