현금및현금성자산 | 2960654635950.0
당기손익-공정가치측정금융자산 | 33215396912282.0
기타포괄손익-공정가치측정금융자산 | 4279387811243.0
상각후원가측정금융자산 | 21311149188514.0
관계기업투자지분 | 175833980034.0
유형자산 | 161045944409.0
무형자산 | 116247892087.0
당기법인세자산 | 10161431633.0
이연법인세자산 | 14120034907.0
순확정급여자산 | 5319978903.0
기타자산 | 24598306668.0
자산총계 | 62273916116630.0
당기손익-공정가치측정금융부채 | 9373652812312.0
예수부채 | 16288371043637.0
차입부채 | 19915227457681.0
발행사채 | 2575789115918.0
순확정급여부채 | 20140923666.0
충당부채 | 25115985460.0
당기법인세부채 | 338150605062.0
이연법인세부채 | 6176909262.0
기타부채 | 6407078149182.0
부채총계 | 54949703002180.0
지배기업의 소유주에게 귀속되는 자본 | 7324213114450.0
자본금 | 458478080000.0
자본잉여금 | 1743464342352.0
자본조정 | -58577164985.0
기타포괄손익누계액 | 250274610186.0
이익잉여금 | 4930573246897.0
대손준비금 기적립액 | 235527928109.0
대손준비금 적립(환입)예정액 | 19959696170.0
비지배지분 | 0.0
자본총계 | 7324213114450.0
자본과부채총계 | 62273916116630.0
