현금및예치금 | 18083041000000.0
당기손익금융자산 | 26358446000000.0
기타포괄손익금융자산 | 32923993000000.0
상각후원가유가증권 | 35423815000000.0
상각후원가대출채권 | 343900399000000.0
위험회피회계파생상품자산 | 71829000000.0
관계기업투자 | 2051729000000.0
투자부동산 | 85958000000.0
유형자산 | 2479927000000.0
무형자산 | 348175000000.0
순확정급여자산 | 32777000000.0
이연법인세자산 | 101658000000.0
기타자산 | 10358091000000.0
자산총계 | 472219838000000.0
당기손익금융부채 | 5454844000000.0
당기손익인식지정금융부채 | 1492476000000.0
예수부채 | 158255737000000.0
차입부채 | 44777136000000.0
사채 | 193150753000000.0
위험회피회계파생상품부채 | 294848000000.0
보험계약부채 | 7853354000000.0
충당부채 | 902199000000.0
이연법인세부채 | 455690000000.0
기타부채 | 25351710000000.0
부채총계 | 437988747000000.0
지배기업 주주지분 | 33946719000000.0
자본금 | 4211365000000.0
신종자본증권 | 4313231000000.0
자본잉여금 | 1170257000000.0
자본조정 | -275000000.0
기타포괄손익누계액 | 659019000000.0
이익잉여금 | 23593122000000.0
대손준비금 기 적립액 | 3343810000000.0
대손준비금 적립예정금액 | 223463000000.0
비지배지분 | 284372000000.0
자본총계 | 34231091000000.0
부채와자본총계 | 472219838000000.0
