,"[DI220000] 재무상태표, 보험 - 연결 | Statement of Financial Position, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI220000] 재무상태표, 보험 - 연결 | Statement of Financial Position, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI220000] 재무상태표, 보험 - 연결 | Statement of Financial Position, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI220000] 재무상태표, 보험 - 연결 | Statement of Financial Position, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI220000] 재무상태표, 보험 - 연결 | Statement of Financial Position, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI220000] 재무상태표, 보험 - 연결 | Statement of Financial Position, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI220000] 재무상태표, 보험 - 연결 | Statement of Financial Position, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI220000] 재무상태표, 보험 - 연결 | Statement of Financial Position, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI220000] 재무상태표, 보험 - 연결 | Statement of Financial Position, Insurance Based - Consolidated financial statements (Unit: KRW)",20241231,20231231,20221231,20211231
,concept_id,label_ko,label_en,class0,class1,class2,class3,class4,class5,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
22,ifrs-full_OtherNonfinancialAssets,기타자산,Other non-financial assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],기타자산,,,,133158857081.0,88002230220.0,88338779488.0,2470114414080.0
23,ifrs-full_Assets,자산총계,Assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],자산총계,,,,87269492540789.0,85019029989421.0,80796010435039.0,94934011110452.0
24,ifrs-full_InsuranceContractsIssuedThatAreLiabilities,보험계약부채,Insurance contracts issued that are liabilities,ifrs-full:StatementOfFinancialPositionAbstract,자본과 부채 [개요],부채 [개요],보험계약부채,,,51787661054843.0,51776856117331.0,51737521733546.0,60876109429118.0
25,ifrs-full_ReinsuranceContractsHeldThatAreLiabilities,재보험계약부채,Reinsurance contracts held that are liabilities,ifrs-full:StatementOfFinancialPositionAbstract,자본과 부채 [개요],부채 [개요],재보험계약부채,,,0.0,0.0,0.0,0.0
26,ifrs-full_FinancialLiabilitiesAtAmortisedCost,상각후원가측정금융부채,Financial liabilities at amortised cost,ifrs-full:StatementOfFinancialPositionAbstract,자본과 부채 [개요],부채 [개요],상각후원가측정금융부채,,,15344067961673.0,13236155487685.0,13853813515974.0,1889758901294.0
27,ifrs-full_LeaseLiabilities,리스부채,Lease liabilities,ifrs-full:StatementOfFinancialPositionAbstract,자본과 부채 [개요],부채 [개요],리스부채,,,104357044160.0,149108400334.0,171528641479.0,0.0
28,ifrs-full_DerivativeFinancialLiabilities,파생상품부채,Derivative financial liabilities,ifrs-full:StatementOfFinancialPositionAbstract,자본과 부채 [개요],부채 [개요],파생상품부채,,,1062261645017.0,343482972584.0,273449808519.0,229760951294.0
29,ifrs-full_Provisions,충당부채,Provisions,ifrs-full:StatementOfFinancialPositionAbstract,자본과 부채 [개요],부채 [개요],충당부채,,,59337479803.0,69317804279.0,67910651274.0,68178365551.0
30,ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,ifrs-full:StatementOfFinancialPositionAbstract,자본과 부채 [개요],부채 [개요],당기법인세부채,,,260526829325.0,25911395922.0,266780694560.0,174722131579.0
31,ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,ifrs-full:StatementOfFinancialPositionAbstract,자본과 부채 [개요],부채 [개요],이연법인세부채,,,2210904492691.0,2528918581667.0,1231871240384.0,2735203404157.0
32,ifrs-full_OtherNonfinancialLiabilities,기타부채,Other non-financial liabilities,ifrs-full:StatementOfFinancialPositionAbstract,자본과 부채 [개요],부채 [개요],기타부채,,,838161287137.0,744880948182.0,669661434452.0,611047248480.0
33,ifrs-full_Liabilities,부채총계,Total liabilities,ifrs-full:StatementOfFinancialPositionAbstract,자본과 부채 [개요],부채 [개요],부채총계,,,71667277794649.0,68874631707984.0,68272537720188.0,79441679329735.0
34,ifrs-full_EquityAttributableToOwnersOfParent,지배기업지분,Equity attributable to owners of parent,ifrs-full:StatementOfFinancialPositionAbstract,자본과 부채 [개요],자본 [개요],지배기업지분,,,15567056119567.0,16114211783285.0,12495527784838.0,15467008869690.0
35,ifrs-full_IssuedCapital,자본금,Issued capital,ifrs-full:StatementOfFinancialPositionAbstract,자본과 부채 [개요],자본 [개요],지배기업지분,자본금,,26473418500.0,26473418500.0,26473418500.0,26473418500.0
36,dart_CapitalSurplus,연결자본잉여금,Capital surplus,ifrs-full:StatementOfFinancialPositionAbstract,자본과 부채 [개요],자본 [개요],지배기업지분,연결자본잉여금,,939233350327.0,939233350327.0,939233350327.0,939233350327.0
37,dart_CapitalAdjustments,연결자본조정,Capital adjustments,ifrs-full:StatementOfFinancialPositionAbstract,자본과 부채 [개요],자본 [개요],지배기업지분,연결자본조정,,-1487219924864.0,-1487219924864.0,-1487219924864.0,-1487219924864.0
38,ifrs-full_AccumulatedOtherComprehensiveIncome,연결기타포괄손익누계액,Accumulated other comprehensive income,ifrs-full:StatementOfFinancialPositionAbstract,자본과 부채 [개요],자본 [개요],지배기업지분,연결기타포괄손익누계액,,2418199564947.0,4356547263208.0,1971563588820.0,5717828814082.0
39,ifrs-full_RetainedEarnings,연결이익잉여금,Retained earnings,ifrs-full:StatementOfFinancialPositionAbstract,자본과 부채 [개요],자본 [개요],지배기업지분,연결이익잉여금,,13670369710657.0,12279177676114.0,11045477352055.0,10270693211645.0
40,dart_RegulatoryReserveForCreditLossToBeAddedReversed,대손준비금 적립(환입)예정액,Regulatory reserve for credit loss to be added (reversed),ifrs-full:StatementOfFinancialPositionAbstract,자본과 부채 [개요],자본 [개요],지배기업지분,연결이익잉여금,대손준비금 적립(환입)예정액,1002710649.0,-78169962883.0,-2757088566.0,0.0
41,dart_RegulatoryReserveForCreditLoss,대손준비금 기적립액,Regulatory reserve for credit loss,ifrs-full:StatementOfFinancialPositionAbstract,자본과 부채 [개요],자본 [개요],지배기업지분,연결이익잉여금,대손준비금 기적립액,169242891881.0,247412854764.0,250169943330.0,0.0
42,dart_CatastropheReserveToBeAdded,비상위험준비금 적립예정액,Catastrophe reserve to be added,ifrs-full:StatementOfFinancialPositionAbstract,자본과 부채 [개요],자본 [개요],지배기업지분,연결이익잉여금,비상위험준비금 적립예정액,171962625172.0,97132670661.0,111225771470.0,0.0
43,ifrs-full_ReserveForCatastrophe,비상위험준비금 기적립액,Catastrophe reserve,ifrs-full:StatementOfFinancialPositionAbstract,자본과 부채 [개요],자본 [개요],지배기업지분,연결이익잉여금,비상위험준비금 기적립액,2669398057523.0,2572265386862.0,2461039615392.0,0.0
44,dart_SurrenderValueReserveToBeAdded,해약환급금준비금 적립예정액,Surrender value reserve to be added,ifrs-full:StatementOfFinancialPositionAbstract,자본과 부채 [개요],자본 [개요],지배기업지분,연결이익잉여금,해약환급금준비금 적립예정액,1033087158943.0,1180012136359.0,0.0,0.0
45,dart_SurrenderValueReserve,해약환급금준비금 기적립액,Surrender value reserve,ifrs-full:StatementOfFinancialPositionAbstract,자본과 부채 [개요],자본 [개요],지배기업지분,연결이익잉여금,해약환급금준비금 기적립액,1180012136359.0,0.0,0.0,
46,ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,ifrs-full:StatementOfFinancialPositionAbstract,자본과 부채 [개요],자본 [개요],비지배지분,,,35158626573.0,30186498152.0,27944930013.0,25322911027.0
47,ifrs-full_Equity,자본총계,Total equity,ifrs-full:StatementOfFinancialPositionAbstract,자본과 부채 [개요],자본 [개요],자본총계,,,15602214746140.0,16144398281437.0,12523472714851.0,15492331780717.0
48,ifrs-full_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,ifrs-full:StatementOfFinancialPositionAbstract,자본과 부채 [개요],자본과부채총계,,,,87269492540789.0,85019029989421.0,80796010435039.0,94934011110452.0
