corp_code,corp_name,reason
1316245,효성중공업,No sales data found in statements
356361,LG화학,No sales data found in statements
120021,LG,No sales data found in statements
113526,대한항공,No sales data found in statements
105952,LS,No sales data found in statements
139834,LG씨엔에스,No sales data found in statements
231363,LG유플러스,No sales data found in statements
105873,LG디스플레이,No sales data found in statements
