corp_name,사업부문,매출유형,품목,구체적용도,주요상표등,매출액(비율),부 문,주요 제품,매출액,비중,품 목,%,사용 용도,주요 상표 등,"('구 분', '구 분')","('매출유형', '매출유형')","('품목', '품목')","('구체적 용도', '구체적 용도')","('주요상표등', '주요상표등')","(""제30기('25.1.1.~12.31.)"", '매출액')","(""제30기('25.1.1.~12.31.)"", '비율')","(""제29기('24.1.1.~12.31.)"", '매출액')","(""제29기('24.1.1.~12.31.)"", '비율')","(""제28기('23.1.1.~12.31.)"", '매출액')","(""제28기('23.1.1.~12.31.)"", '비율')",구체적 용도,매출액 (비율),매출액 (비율)_1,매출액 (비율)_2,비 율,비율,"('사업부문', '사업부문')","('품 목', '품 목')","('구체적용도', '구체적용도')","('2025년', '매출액')","('2025년', '비율')","('2024년', '매출액')","('2024년', '비율')","('2023년', '매출액')","('2023년', '비율')",2025년(제9기),2025년(제9기)_1,2024년(제8기),2024년(제8기)_1,2023년(제7기),2023년(제7기)_1,"('2025년', '비중')","('2024년', '비중')","('2023년', '비중')",기간,제품명,용도 및 기능,매출액(백만원),비율(%),비고,제26기매출액(비율),"('사업구분', '사업구분')","('제25기', '매출액')","('제25기', '비율(%)')",구분,주요상품 등,제품군,제 31(당) 기,제 31(당) 기_1,제 30(전) 기,제 30(전) 기_1,사업구분,품목_1,2025년,2024년,2023년,제품 설명,"('품 목', '품 목.1')","('2025년', '매출액(비율)')","('2024년', '매출액(비율)')","('2023년', '매출액(비율)')",사업소,"('2025년 (제11기)', '금액')","('2025년 (제11기)', '비율')","('2024년 (제10기)', '금액')","('2024년 (제10기)', '비율')","('2023년 (제09기)', '금액')","('2023년 (제09기)', '비율')","('제품설명', '제품설명')","('구분', '구분')",품 목_1,당기,당기_1,전기,전기_1,주요제품,"('주요상표 등', '주요상표 등')","('제19기', '매출액')","('제19기', '비율(%)')",매출액_1,비율(%)_1,매출액_2,비율(%)_2,제27기,제27기_1,제26기,제26기_1,제25기,제25기_1,주요상표 등,"('사업연도', '품 목')","('사업연도', '구분')","('2025년(당기)', '2025년(당기)')","('2024년(제15기)', '2024년(제15기)')","('2023년 (제14기)', '2023년 (제14기)')","('2022년 (제13기)', '2022년 (제13기)')","('응용시장', '응용시장')","('제14기(2025년)', '매출액')","('제14기(2025년)', '비율')","('제13기(2024년)', '매출액')","('제13기(2024년)', '비율')","('제12기(2023년)', '매출액')","('제12기(2023년)', '비율')"
제주반도체,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.01.01 ~25.12.31,eMMC,모바일 메모리,2819,0.93%,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주반도체,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.01.01 ~25.12.31,eMCP,모바일 메모리,822,0.27%,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주반도체,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.01.01 ~25.12.31,NOR MCP,모바일 메모리,481,0.16%,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주반도체,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.01.01 ~25.12.31,SPI NAND,모바일 메모리,20,0.01%,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주반도체,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.01.01 ~25.12.31,기타,모바일 메모리,12,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유진테크,반도체장비,제품,LPCVDPlasmaALD,"반도체 전공정 장비:웨이퍼 위에 특정 용도막(산화막, 절연막 등)을 증착하는 장비",-BlueJay-Albatross-QXP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"283,728(81.0%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유진테크,반도체용 산업가스반도체 소재,제품,전구체,반도체 전공정 중 박막증착에 사용되는 화학물질,-SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,853(4.2%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유진테크,기타,기타,원부자재,원부자재외,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51,743(14.8%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유진테크,합 계,합 계,합 계,합 계,합 계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"350,324(100.0%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하나마이크론,,,,,,,,,,,,,,,,제품외,,,-,,,,,,,,,,,,,,PKG,반도체칩부품화,,,,,,,,,,,,,,,,,,,,,,,반도체제조,1157316215.0,75.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하나마이크론,,,,,,,,,,,,,,,,제품외,,,-,,,,,,,,,,,,,,기타,-,,,,,,,,,,,,,,,,,,,,,,,반도체제조,103620690.0,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하나마이크론,,,,,,,,,,,,,,,,제품외,,,-,,,,,,,,,,,,,,실리콘부품,반도체 공정소모품,,,,,,,,,,,,,,,,,,,,,,,반도체재료,239818300.0,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하나마이크론,,,,,,,,,,,,,,,,제품외,,,-,,,,,,,,,,,,,,기타,-,,,,,,,,,,,,,,,,,,,,,,,반도체재료,33052388.0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하나마이크론,,,,,,,,,,,,,,,,투자외,,,-,,,,,,,,,,,,,,기타,관리보수外,,,,,,,,,,,,,,,,,,,,,,,신기술사업금융,611281.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하나마이크론,,,,,,,,,,,,,,,,-,,,-,,,,,,,,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,합계,1534418874.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISC,,제품,Test Socket 등,,,,,,165932,,,,,,,,,,,,,,,,,,,,,,75.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,제조,iSC 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISC,,상품,Test 부품류 등,,,,,,51598,,,,,,,,,,,,,,,,,,,,,,23.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,제조,iSC 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISC,,용역 및 기타,-,,,,,,2665,,,,,,,,,,,,,,,,,,,,,,1.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,제조,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISC,,계,계,,,,,,220195,,,,,,,,,,,,,,,,,,,,,,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,계,계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고영,3D AOI,,,"- 전자제품/반도체 생산용 검사 장비 및 솔루션 - 뇌수술용 의료로봇- KPO, 스마트 리뷰 등 AI 소프트웨어 솔루션",품목명과 동일,,,,117955,,Zenith 등,,,,,,,,,,,,,,,,,,,,50.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고영,3D SPI,,,"- 전자제품/반도체 생산용 검사 장비 및 솔루션 - 뇌수술용 의료로봇- KPO, 스마트 리뷰 등 AI 소프트웨어 솔루션",품목명과 동일,,,,86019,,"aSPIre, KY 8030 등",,,,,,,,,,,,,,,,,,,,37.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고영,기타,,,"- 전자제품/반도체 생산용 검사 장비 및 솔루션 - 뇌수술용 의료로봇- KPO, 스마트 리뷰 등 AI 소프트웨어 솔루션",품목명과 동일,,,,28673,,"Geniant Cranial, Kymero, Neptune,KY-P3 및 부품 등",,,,,,,,,,,,,,,,,,,,12.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고영,합 계,,,합 계,합 계,,,,232647,,합 계,,,,,,,,,,,,,,,,,,,,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
티씨케이,사업부문,매출유형,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,제품군,매출액,비율,매출액,비율,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
티씨케이,Graphite부문,제품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,반도체용 고순도 흑연제품,33020,11.0%,31513,11.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
티씨케이,Graphite부문,제품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,태양광용 고순도 흑연제품,709,0.2%,784,0.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
티씨케이,Susceptor부문,제품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED 및 반도체 부품 외,12383,4.1%,18361,6.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
티씨케이,Solid SiC부문,제품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,반도체 공정 부품,254804,84.6%,224488,81.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
티씨케이,기타부문,상품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HEATER 등,419,0.1%,579,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
티씨케이,합계,합계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,합계,301334,100.0%,275725,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
두산테스나,,,Wafer Test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,테스트사업,"SoC, CIS, Smart Card IC,MCU",280964147,345472231,323623843,웨이퍼 상태에서 테스트를 실시 하여 양품/불량 판정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
두산테스나,,,PKG Test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,테스트사업,"MCU, CIS, SoC",18023143,18261514,15028411,패키징이 완료된 개별 칩에 대해 테스트를 실시하여 양품/불량 판정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
두산테스나,,,Die Preparation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DP사업,"CIS, DDI, FPT, SiC",4886781,10456318,14880124,테스트가 완료된 웨이퍼에서 양품칩을 재배열 및 웨이퍼 크기로 분류,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
두산테스나,,,합계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,합계,합계,303874072,374190063,353532379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
테크윙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,반도체검사장비(테크윙),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,검사장비(Test Handler 등),57299,82166,52805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
테크윙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,반도체검사장비(테크윙),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,검사장비(Test Handler 등),36.01%,44.29%,39.52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
테크윙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,반도체검사장비(테크윙),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C.O.K(change over kit),58557,48185,38275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
테크윙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,반도체검사장비(테크윙),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C.O.K(change over kit),36.80%,25.97%,28.65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
테크윙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,반도체검사장비(테크윙),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parts 및 Board 등,32297,33554,23306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
테크윙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,반도체검사장비(테크윙),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parts 및 Board 등,20.30%,18.09%,17.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
테크윙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,반도체검사장비(테크윙),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,소계,148153,163904,114386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
테크윙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,반도체검사장비(테크윙),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,소계,93.10%,88.35%,85.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
테크윙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,디스플레이평가장비(이엔씨테크놀로지),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OLED/LCD평가, 측정 장비 등",10976,21603,18630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
테크윙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,디스플레이평가장비(이엔씨테크놀로지),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OLED/LCD평가, 측정 장비 등",6.90%,11.65%,13.94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
테크윙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCB설계등(트루텍),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCB설계 등,-,-,588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
테크윙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCB설계등(트루텍),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCB설계 등,-,-,0.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
테크윙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,합 계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,합 계,159128,185507,133604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
테크윙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,합 계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,합 계,100.00%,100.00%,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
피에스케이홀딩스,반도체 제조용장비,제품,,,,,,,184094,,반도체 공정장비 류 외,,,,,,,,,,,,,,,,,,,88.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,본사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
피에스케이홀딩스,반도체 제조용장비,기타,,,,,,,23670,,부품 및 용역수수료 외,,,,,,,,,,,,,,,,,,,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,본사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFHIC,,,,,,,,,,,,,,,,,GaN 트랜지스터 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44726.0,24.07%,19891.0,17.32%,32442,29.11%,(주1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFHIC,,,,,,,,,,,,,,,,,GaN 전력증폭기 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140181.0,75.45%,93909.0,81.75%,78478,70.43%,(주2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFHIC,,,,,,,,,,,,,,,,,GaAs MMIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523.0,0.28%,837.0,0.73%,513,0.46%,(주3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFHIC,,,,,,,,,,,,,,,,,기타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.0,0.20%,239.0,0.20%,-,0.00%,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFHIC,,,,,,,,,,,,,,,,,합계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185804.0,100.00%,114876.0,100.00%,111433,100.00%,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
코미코,,,,,,,,,,,,,,,,,세정,,,,,,,,,,,,,,,,,,131634.0,21.8%,107312.0,21.2%,97934.0,31.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,매출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
코미코,,,,,,,,,,,,,,,,,코팅,,,,,,,,,,,,,,,,,,169803.0,28.1%,151617.0,29.9%,132687.0,43.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,매출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
코미코,,,,,,,,,,,,,,,,,부품,,,,,,,,,,,,,,,,,,302673.0,50.1%,248210.0,48.9%,76646.0,24.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,매출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
코미코,,,,,,,,,,,,,,,,,매출액 합계,,,,,,,,,,,,,,,,,,604110.0,100.0%,507139.0,100.0%,307267.0,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,매출액 합계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
태성,,,,,,,,,,,품 목,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,품 목,매출액,매출비중,매출액,매출비중,,,,,,,,,,,,,,,,,,,,,,,,,,,,
태성,,,,,,,,,,,설비,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,정면기,994,3.6,8751,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
태성,,,,,,,,,,,설비,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,표면처리장비,7016,25.6,22695,43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
태성,,,,,,,,,,,설비,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,식각장비,7267,26.5,12415,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
태성,,,,,,,,,,,설비,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,수직비접촉장비,671,2.4,1158,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
태성,,,,,,,,,,,설비,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,자동화장비,-,-,78,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
태성,,,,,,,,,,,설비,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,글라스장비,1181,4.3,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
태성,,,,,,,,,,,용역매출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,용역매출,4686,17.1,3417,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
태성,,,,,,,,,,,상품매출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,상품매출,2516,9.2,2093,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
태성,,,,,,,,,,,기타매출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,기타매출,3070,11.2,1810,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
태성,,,,,,,,,,,합 계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,합 계,27400,100.0,52418,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에스앤에스텍,블랭크마스크 사업,,,,,234810219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,반도체 및 FPD용블랭크마스크 제조,,,,,,,,,,,,,,,,,,,,,,,,,,,
에스앤에스텍,블랭크마스크 사업,,,,,96.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,반도체 및 FPD용블랭크마스크 제조,,,,,,,,,,,,,,,,,,,,,,,,,,,
에스앤에스텍,신기술사업금융업,,,,,7077013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,투자활동,,,,,,,,,,,,,,,,,,,,,,,,,,,
에스앤에스텍,신기술사업금융업,,,,,2.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,투자활동,,,,,,,,,,,,,,,,,,,,,,,,,,,
에스앤에스텍,바이오 및 과학기술서비스업,,,,,1846021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,부동산 임대 및 컨설팅,,,,,,,,,,,,,,,,,,,,,,,,,,,
에스앤에스텍,바이오 및 과학기술서비스업,,,,,0.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,부동산 임대 및 컨설팅,,,,,,,,,,,,,,,,,,,,,,,,,,,
에스앤에스텍,합 계,,,,,243733253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,합 계,,,,,,,,,,,,,,,,,,,,,,,,,,,
에스앤에스텍,합 계,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,합 계,,,,,,,,,,,,,,,,,,,,,,,,,,,
케이씨텍,,상품/제품,반도체 장비 및소재의 제조/판매,,,,,,345723305,,,,,,,,,,,,,,,,,"연마(CMP) 장비,연마 소재(Slurry),Cleaning System",,,,,90.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,반도체부문,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
케이씨텍,,상품/제품,디스플레이 장비 및소재의 제조/판매,,,,,,36991230,,,,,,,,,,,,,,,,,"Wet Station, Coater",,,,,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,디스플레이부문,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
케이씨텍,,기타,임대료,,,,,,142040,,,,,,,,,,,,,,,,,-,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,기타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
케이씨텍,,합 계,합 계,,,,,,382856575,,,,,,,,,,,,,,,,,-,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,합 계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
