stock_code,corp_name,corp_code,bsns_year,fs_div,sj_div,sj_nm,account_nm,thstrm_amount,frmtrm_amount,bfefrmtrm_amount,ord
58650,심텍,1095722,2023,CFS,CF,현금흐름표,투자활동현금흐름,-90292598477.0,-268795478271.0,-80459311755.0,22
34230,에스앤에스텍,411048,2025,CFS,CF,현금흐름표,투자활동현금흐름,-69628134216.0,-19205897085.0,-20773895211.0,23
34230,에스앤에스텍,411048,2024,CFS,CF,현금흐름표,투자활동현금흐름,-19205897085.0,-20773895211.0,-33375747763.0,19
34230,에스앤에스텍,411048,2023,CFS,CF,현금흐름표,투자활동현금흐름,-20773895211.0,-33375747763.0,13813256065.0,23
41920,와이씨,1109539,2025,CFS,CF,현금흐름표,투자활동현금흐름,10045981704.0,-38552642943.0,-27949820176.0,18
41920,와이씨,1109539,2024,CFS,CF,현금흐름표,투자활동현금흐름,-38552642943.0,-27949820176.0,-86231388751.0,18
41920,와이씨,1109539,2023,CFS,CF,현금흐름표,투자활동현금흐름,-27949820176.0,-86231388751.0,-174042861373.0,17
240810,원익IPS,1135941,2025,CFS,CF,현금흐름표,투자활동현금흐름,-178509048975.0,5495162371.0,-46027866311.0,16
240810,원익IPS,1135941,2024,CFS,CF,현금흐름표,투자활동현금흐름,5495162371.0,-46027866311.0,60744469876.0,16
240810,원익IPS,1135941,2023,CFS,CF,현금흐름표,투자활동현금흐름,-46027866311.0,60744469876.0,-223783631960.0,15
39440,유진테크,531014,2025,CFS,CF,현금흐름표,투자활동현금흐름,-55048153074.0,-75827511736.0,-43146128894.0,15
39440,유진테크,531014,2024,CFS,CF,현금흐름표,투자활동현금흐름,-75827511736.0,-43146128894.0,-12203339671.0,16
39440,유진테크,531014,2023,CFS,CF,현금흐름표,투자활동현금흐름,-43146128894.0,-12203339671.0,-66066025501.0,15
11930,이오테크닉스,246417,2025,CFS,CF,현금흐름표,투자활동현금흐름,-115567294480.0,-37576788470.0,25560486612.0,21
11930,이오테크닉스,246417,2024,CFS,CF,현금흐름표,투자활동현금흐름,-37576788470.0,25560486612.0,-5843240872.0,20
11930,이오테크닉스,246417,2023,CFS,CF,현금흐름표,투자활동현금흐름,25560486612.0,-5843240872.0,-6890070591.0,19
90460,제주반도체,447487,2025,CFS,CF,현금흐름표,투자활동현금흐름,4591699774.0,-1113592600.0,-3028003579.0,18
90460,제주반도체,447487,2024,CFS,CF,현금흐름표,투자활동현금흐름,-1113592600.0,-3028003579.0,-2847881243.0,17
90460,제주반도체,447487,2023,CFS,CF,현금흐름표,투자활동현금흐름,-3028003579.0,-2847881243.0,-4673129593.0,20
36930,주성엔지니어링,252135,2025,CFS,CF,현금흐름표,투자활동현금흐름,-53872736602.0,-40332274846.0,-1171928652.0,13
36930,주성엔지니어링,252135,2024,CFS,CF,현금흐름표,투자활동현금흐름,-40332274846.0,-1171928652.0,-48396816601.0,13
36930,주성엔지니어링,252135,2023,CFS,CF,현금흐름표,투자활동현금흐름,-1171928652.0,-48396816601.0,6947517717.0,18
63770,케이씨텍,1261893,2025,CFS,CF,현금흐름표,투자활동현금흐름,-105657096284.0,-49105252703.0,18144211143.0,12
63770,케이씨텍,1261893,2024,OFS,CF,현금흐름표,투자활동현금흐름,-49105252703.0,18144211143.0,-67981740896.0,12
63770,케이씨텍,1261893,2023,OFS,CF,현금흐름표,투자활동현금흐름,18144211143.0,-67981740896.0,-13303683294.0,12
54450,코미코,997812,2025,CFS,CF,현금흐름표,투자활동현금흐름,-254008859517.0,-148527123147.0,-105292714093.0,25
54450,코미코,997812,2024,CFS,CF,현금흐름표,투자활동현금흐름,-148527123147.0,-105292714093.0,-56894520244.0,24
54450,코미코,997812,2023,CFS,CF,현금흐름표,투자활동현금흐름,-105292714093.0,-56894520244.0,-57603202428.0,22
323280,태성,1366000,2025,CFS,CF,현금흐름표,투자활동현금흐름,-40769921726.0,-21126526792.0,-859871884.0,17
323280,태성,1366000,2024,CFS,CF,현금흐름표,투자활동현금흐름,-21126526792.0,-859871884.0,1693136778.0,16
323280,태성,1366000,2023,CFS,CF,현금흐름표,투자활동현금흐름,-859871884.0,1693136778.0,-39927344.0,14
204940,테크윙,535676,2025,CFS,CF,현금흐름표,투자활동현금흐름,-109263739041.0,-29905589196.0,-67217103146.0,17
204940,테크윙,535676,2024,CFS,CF,현금흐름표,투자활동현금흐름,-29905589196.0,-67217103146.0,-24877006267.0,16
204940,테크윙,535676,2023,CFS,CF,현금흐름표,투자활동현금흐름,-67217103146.0,-24877006267.0,-64687859770.0,19
36620,티씨케이,245472,2025,OFS,CF,현금흐름표,투자활동현금흐름,4361225849.0,-72043319977.0,-33572720459.0,13
36620,티씨케이,245472,2024,OFS,CF,현금흐름표,투자활동현금흐름,-72043319977.0,-33572720459.0,-96045963737.0,12
36620,티씨케이,245472,2023,OFS,CF,현금흐름표,투자활동현금흐름,-33572720459.0,-96045963737.0,-63738558950.0,12
224110,파두,1292291,2025,CFS,CF,현금흐름표,투자활동현금흐름,9693007263.0,66450409902.0,-97710804308.0,17
224110,파두,1292291,2024,CFS,CF,현금흐름표,투자활동현금흐름,66450409902.0,-97710804308.0,-17615834391.0,14
224110,파두,1292291,2023,CFS,CF,현금흐름표,투자활동현금흐름,-97710804308.0,-17620137545.0,-4813803949.0,15
66800,피에스케이,1365825,2025,CFS,CF,현금흐름표,투자활동현금흐름,-17161223038.0,-34424696928.0,-36436599654.0,15
66800,피에스케이,1365825,2024,CFS,CF,현금흐름표,투자활동현금흐름,-34424696928.0,-36436599654.0,-36165066547.0,17
66800,피에스케이,1365825,2023,CFS,CF,현금흐름표,투자활동현금흐름,-36436599654.0,-36165066547.0,-91865718494.0,17
20960,피에스케이홀딩스,208444,2025,CFS,CF,현금흐름표,투자활동현금흐름,-833158771.0,-23949808588.0,-15036163087.0,16
20960,피에스케이홀딩스,208444,2024,CFS,CF,현금흐름표,투자활동현금흐름,-23949808588.0,-15036163087.0,-17441955479.0,19
20960,피에스케이홀딩스,208444,2023,CFS,CF,현금흐름표,투자활동현금흐름,-15036163087.0,-17441955479.0,-17058956932.0,20
39030,필옵틱스,938721,2025,CFS,CF,현금흐름표,투자활동현금흐름,-20687565306.0,-20538453747.0,-35177679327.0,24
39030,필옵틱스,938721,2024,CFS,CF,현금흐름표,투자활동현금흐름,-20538453747.0,-35177679327.0,-6706152424.0,24
39030,필옵틱스,938721,2023,CFS,CF,현금흐름표,투자활동현금흐름,-35177679327.0,-6706152424.0,16639128711.0,24
81370,하나마이크론,445054,2025,CFS,CF,현금흐름표,투자활동현금흐름,-156830059010.0,-146143913739.0,-408102565655.0,29
81370,하나마이크론,445054,2024,CFS,CF,현금흐름표,투자활동현금흐름,-146143913739.0,-408102565655.0,-398886577162.0,28
81370,하나마이크론,445054,2023,CFS,CF,현금흐름표,투자활동현금흐름,-408102565655.0,-398886577162.0,-184330955892.0,27
205470,하나머티리얼즈,660750,2025,CFS,CF,현금흐름표,투자활동현금흐름,-12246933113.0,-25744905084.0,-125034372537.0,17
205470,하나머티리얼즈,660750,2024,CFS,CF,현금흐름표,투자활동현금흐름,-25744905084.0,-125034372537.0,-92448191263.0,17
205470,하나머티리얼즈,660750,2023,CFS,CF,현금흐름표,투자활동현금흐름,-125034372537.0,-92448191263.0,-77942283798.0,19
42700,한미반도체,161383,2025,CFS,CF,현금흐름표,투자활동현금흐름,18323837100.0,9424530414.0,84636164574.0,17
42700,한미반도체,161383,2024,CFS,CF,현금흐름표,투자활동현금흐름,9424530414.0,84636164574.0,-18079678286.0,15
42700,한미반도체,161383,2023,CFS,CF,현금흐름표,투자활동현금흐름,84636164574.0,-18079678286.0,-64957521614.0,16
