stock_code,corp_name,corp_code,bsns_year,fs_div,sj_div,sj_nm,account_nm,thstrm_amount,frmtrm_amount,bfefrmtrm_amount,ord
41920,와이씨,1109539,2023,CFS,CIS,포괄손익계산서,매출액,255182306180.0,285267759686.0,311270371895.0,35
41920,와이씨,1109539,2024,CFS,CIS,포괄손익계산서,수익(매출액),211241210832.0,255182306180.0,285267759686.0,35
41920,와이씨,1109539,2025,CFS,CIS,포괄손익계산서,수익(매출액),272629978227.0,211241210832.0,255182306180.0,34
240810,원익IPS,1135941,2023,CFS,CIS,포괄손익계산서,매출액,690337586778.0,1011484981702.0,1232302198954.0,34
240810,원익IPS,1135941,2024,CFS,CIS,포괄손익계산서,수익(매출액),748176487524.0,690337586778.0,1011484981702.0,32
240810,원익IPS,1135941,2025,CFS,CIS,포괄손익계산서,수익(매출액),909795691103.0,748176487524.0,690337586778.0,32
39440,유진테크,531014,2023,CFS,IS,손익계산서,수익(매출액),276533350776.0,310632917779.0,324575857261.0,23
39440,유진테크,531014,2024,CFS,IS,손익계산서,수익(매출액),338067812312.0,276533350776.0,310632917779.0,23
39440,유진테크,531014,2025,CFS,IS,손익계산서,수익(매출액),350324287104.0,338067812312.0,276533350776.0,22
11930,이오테크닉스,246417,2023,CFS,CIS,포괄손익계산서,수익(매출액),316384019477.0,447157589742.0,390860189675.0,34
11930,이오테크닉스,246417,2024,CFS,CIS,포괄손익계산서,매출액,320945496298.0,316339650431.0,446966212139.0,40
11930,이오테크닉스,246417,2025,CFS,CIS,포괄손익계산서,매출액,380890608578.0,320945496298.0,316339650431.0,39
90460,제주반도체,447487,2023,CFS,CIS,포괄손익계산서,수익(매출액),145899793599.0,158258062887.0,176599277559.0,43
90460,제주반도체,447487,2024,CFS,CIS,포괄손익계산서,수익(매출액),162349945455.0,145899793599.0,158258062887.0,43
90460,제주반도체,447487,2025,CFS,CIS,포괄손익계산서,수익(매출액),302230571186.0,162349945455.0,145899793599.0,43
36930,주성엔지니어링,252135,2023,CFS,CIS,포괄손익계산서,매출액,284745246660.0,437938720318.0,377294631076.0,33
36930,주성엔지니어링,252135,2024,CFS,CIS,포괄손익계산서,수익(매출액),409393371588.0,284745246660.0,437938720318.0,32
36930,주성엔지니어링,252135,2025,CFS,CIS,포괄손익계산서,수익(매출액),310692584812.0,409393371588.0,284745246660.0,32
63770,케이씨텍,1261893,2023,OFS,CIS,포괄손익계산서,매출,286909703428.0,378192950172.0,344546239687.0,21
63770,케이씨텍,1261893,2024,OFS,CIS,포괄손익계산서,매출,385433971366.0,286909703428.0,378192950172.0,22
63770,케이씨텍,1261893,2025,CFS,CIS,포괄손익계산서,수익(매출액),382856574357.0,385433971366.0,286909703428.0,28
54450,코미코,997812,2023,CFS,CIS,포괄손익계산서,수익(매출액),307266896921.0,288376003971.0,257041930051.0,34
54450,코미코,997812,2025,CFS,CIS,포괄손익계산서,매출액,604110117086.0,507138644286.0,307266896921.0,36
323280,태성,1366000,2023,CFS,CIS,포괄손익계산서,수익(매출액),33338955327.0,61247953344.0,43940060310.0,25
323280,태성,1366000,2024,CFS,CIS,포괄손익계산서,수익(매출액),59212420040.0,33338955327.0,61247953344.0,25
323280,태성,1366000,2025,CFS,CIS,포괄손익계산서,수익(매출액),37859245040.0,59212420040.0,33338955327.0,25
204940,테크윙,535676,2023,CFS,CIS,포괄손익계산서,수익(매출액),133604260260.0,267491091324.0,255915216713.0,34
204940,테크윙,535676,2024,CFS,CIS,포괄손익계산서,수익(매출액),185507171034.0,133604260260.0,267491091324.0,33
