corp_code,stock_code,corp_name,year,매출액,영업이익,당기순이익,ROE(%),ROA(%),영업이익률(%),매출총이익률(%),SGA비율(%),매출원가율(%),부채비율(%),자기자본비율(%),이자보상배수(배),자산회전율(배),재고회전율(배),매출채권회전율(배),Capex,Capex/매출(%),FCF,FCF마진(%),영업활동현금흐름,배당금지급,고정자산비율(%)
164779,660,SK하이닉스,2025,97146675000000.0,47206319000000.0,42947902000000.0,35.59,24.39,48.59,60.41,11.82,39.59,45.95,68.52,3.77,0.55,2.69,5.34,28579343000000.0,29.42,24793783000000.0,25.52,53373126000000.0,1681166000000.0,46.31
1364747,52690,가온칩스,2023,63597349804.0,4351646460.0,6344445918.0,10.23,6.71,6.84,20.0,13.16,80.0,52.55,65.55,5.19,0.67,,3.82,10884020503.0,17.11,-5217669564.0,-8.2,5666350939.0,0.0,22.05
1364747,52690,가온칩스,2024,96492001688.0,3524912928.0,7530549168.0,10.86,6.68,3.65,14.76,11.11,85.24,62.51,61.53,1.51,0.86,,5.16,10798869694.0,11.19,5048709.0,0.01,10803918403.0,0.0,23.12
1364747,52690,가온칩스,2025,68510181008.0,-16721496228.0,-14369143365.0,-26.27,-9.02,-24.41,-7.61,16.8,107.61,191.31,34.33,-1.85,0.43,69.46,11.15,8330257678.0,12.16,-9178988137.0,-13.4,-848730459.0,0.0,18.21
579999,92220,고영,2023,225630691398.0,20372226090.0,21925959777.0,7.18,5.97,9.03,64.49,37.01,35.51,20.27,83.14,29.35,0.61,1.6,2.72,10231944518.0,4.53,19308259865.0,8.56,29540204383.0,9383403960.0,15.33
579999,92220,고영,2024,202538127214.0,3322352718.0,20998990602.0,6.5,5.56,1.64,62.14,40.22,37.86,16.95,85.51,6.59,0.54,1.53,2.79,8648141330.0,4.27,27747465314.0,13.7,36395606644.0,9183975920.0,15.61
579999,92220,고영,2025,232647218656.0,17342338477.0,14756087568.0,4.4,3.6,7.45,63.86,41.89,36.14,22.43,81.68,23.49,0.57,1.66,2.19,13483943478.0,5.8,4606285831.0,1.98,18090229309.0,9237228000.0,15.93
1080252,396770,넥스틴,2023,87930571023.0,36165536410.0,30933600268.0,24.36,21.64,41.13,70.88,29.75,29.12,12.56,88.84,19.32,0.62,0.49,10.09,16630048050.0,18.91,-16233108982.0,-18.46,396939068.0,4932296500.0,18.31
1080252,396770,넥스틴,2024,113719875873.0,46974727733.0,38427640891.0,24.38,20.24,41.31,69.93,28.62,30.07,20.41,83.05,32.12,0.6,0.62,8.31,15836121029.0,13.93,26922050473.0,23.67,42758171502.0,5093125500.0,19.79
1080252,396770,넥스틴,2025,66914327141.0,-1160803724.0,-2645744570.0,-1.76,-1.19,-1.73,48.65,50.39,51.35,48.45,67.36,-0.86,0.3,0.57,10.85,30459468030.0,45.52,-41568110981.0,-62.12,-11108642951.0,5138818500.0,33.61
