stock_code,corp_name,corp_code,bsns_year,fs_div,sj_div,sj_nm,account_nm,thstrm_amount,frmtrm_amount,bfefrmtrm_amount,ord,duplicate_key
68270,DB하이텍,160843,2023,CFS,BS,재무상태표,부채총계,303296256385.0,507381718523.0,460954603040.0,48.0,
68270,DB하이텍,160843,2023,CFS,BS,재무상태표,비유동부채,83145844152.0,91282216191.0,118322047436.0,49.0,
68270,DB하이텍,160843,2023,CFS,IS,손익계산서,영업이익,265437456373.0,761884807377.0,389229044615.0,8.0,
68270,DB하이텍,160843,2023,CFS,CF,현금흐름표,영업활동현금흐름,224258155766.0,730905287732.0,393129114790.0,36.0,DB하이텍_2023_영업활동현금흐름
68270,DB하이텍,160843,2023,CFS,BS,재무상태표,유형자산,950915129838.0,752946807244.0,671503816147.0,28.0,
68270,DB하이텍,160843,2023,CFS,CF,현금흐름표,유형자산의 취득,329311056539.0,181792068892.0,133612138042.0,35.0,
68270,DB하이텍,160843,2023,CFS,BS,재무상태표,자본총계,1740082437747.0,1634784143895.0,1105159337831.0,30.0,
68270,DB하이텍,160843,2023,CFS,BS,재무상태표,재고자산,81645551677.0,79031919690.0,66017137668.0,13.0,
68270,DB하이텍,160843,2023,CFS,CF,현금흐름표,재무활동현금흐름,-146697209774.0,-45816865845.0,-4884073073.0,8.0,
68270,DB하이텍,160843,2023,CFS,BS,재무상태표,총자산,2043378694132.0,2142165862418.0,1566113940871.0,7.0,
68270,DB하이텍,160843,2023,CFS,CF,현금흐름표,투자활동현금흐름,27488934945.0,-708793931234.0,-252766500051.0,17.0,DB하이텍_2023_투자활동현금흐름
68270,DB하이텍,160843,2023,CFS,IS,손익계산서,판매비와관리비,176581726069.0,165939692250.0,139255498198.0,13.0,
267260,HD현대에너지솔루션,1199550,2025,CFS,CIS,포괄손익계산서,금융비용,9618033284.0,8580092330.0,15456916666.0,14.0,
267260,HD현대에너지솔루션,1199550,2025,CFS,CIS,포괄손익계산서,당기순이익,41676678809.0,114228449.0,-2863877616.0,24.0,
267260,HD현대에너지솔루션,1199550,2025,CFS,CIS,포괄손익계산서,매출액,492659873672.0,422371216357.0,546119805992.0,26.0,HD현대에너지솔루션_2025_매출액
267260,HD현대에너지솔루션,1199550,2025,CFS,CIS,포괄손익계산서,매출원가,386416045463.0,374969838325.0,482948998047.0,11.0,
267260,HD현대에너지솔루션,1199550,2025,CFS,BS,재무상태표,매출채권,131177126133.0,,,,
267260,HD현대에너지솔루션,1199550,2025,CFS,BS,재무상태표,무형자산,9810882939.0,9541979228.0,10174709436.0,18.0,
267260,HD현대에너지솔루션,1199550,2025,CFS,CF,현금흐름표,무형자산의 취득,6284322782.0,4962915457.0,2625599060.0,26.0,
267260,HD현대에너지솔루션,1199550,2025,CFS,CF,현금흐름표,배당금지급,0.0,0.0,6720000000.0,13.0,
267260,HD현대에너지솔루션,1199550,2025,CFS,BS,재무상태표,부채총계,112646200697.0,84090604074.0,130500000767.0,41.0,
267260,HD현대에너지솔루션,1199550,2025,CFS,BS,재무상태표,비유동부채,17105830497.0,14085583962.0,25246631865.0,42.0,
267260,HD현대에너지솔루션,1199550,2025,CFS,CIS,포괄손익계산서,영업이익,41222890455.0,3502725251.0,17542859732.0,6.0,
267260,HD현대에너지솔루션,1199550,2025,CFS,CF,현금흐름표,영업활동현금흐름,17722056369.0,83448719253.0,75783714561.0,28.0,HD현대에너지솔루션_2025_영업활동현금흐름
267260,HD현대에너지솔루션,1199550,2025,CFS,BS,재무상태표,유형자산,97902800041.0,87540897757.0,94813335886.0,22.0,
267260,HD현대에너지솔루션,1199550,2025,CFS,CF,현금흐름표,유형자산의 취득,12304011908.0,11670758253.0,8418678975.0,27.0,
267260,HD현대에너지솔루션,1199550,2025,CFS,BS,재무상태표,자본총계,417784216586.0,369683769362.0,371556913092.0,25.0,
267260,HD현대에너지솔루션,1199550,2025,CFS,BS,재무상태표,재고자산,95367940093.0,83409572169.0,168208074370.0,12.0,
267260,HD현대에너지솔루션,1199550,2025,CFS,CF,현금흐름표,재무활동현금흐름,2438356300.0,-34395697995.0,-30049485024.0,8.0,
267260,HD현대에너지솔루션,1199550,2025,CFS,BS,재무상태표,총자산,530430417283.0,453774373436.0,502056913859.0,7.0,
267260,HD현대에너지솔루션,1199550,2025,CFS,CF,현금흐름표,투자활동현금흐름,-124031994765.0,-13801409961.0,-9628704337.0,16.0,HD현대에너지솔루션_2025_투자활동현금흐름
267260,HD현대에너지솔루션,1199550,2025,CFS,CIS,포괄손익계산서,판매비와관리비,65020937754.0,43898652781.0,45627948213.0,9.0,
267260,HD현대에너지솔루션,1199550,2024,CFS,CIS,포괄손익계산서,금융비용,8580092330.0,15456916666.0,31076398865.0,14.0,
267260,HD현대에너지솔루션,1199550,2024,CFS,CIS,포괄손익계산서,당기순이익,114228449.0,-2863877616.0,60610132499.0,24.0,
267260,HD현대에너지솔루션,1199550,2024,CFS,CIS,포괄손익계산서,매출액,422371216357.0,546119805992.0,984812413122.0,26.0,HD현대에너지솔루션_2024_매출액
267260,HD현대에너지솔루션,1199550,2024,CFS,CIS,포괄손익계산서,매출원가,374969838325.0,482948998047.0,799543147309.0,11.0,
267260,HD현대에너지솔루션,1199550,2024,CFS,BS,재무상태표,매출채권,78415716493.0,,,,
267260,HD현대에너지솔루션,1199550,2024,CFS,BS,재무상태표,무형자산,9541979228.0,10174709436.0,8122060250.0,19.0,
267260,HD현대에너지솔루션,1199550,2024,CFS,CF,현금흐름표,무형자산의 취득,4962915457.0,2625599060.0,2111039739.0,26.0,
267260,HD현대에너지솔루션,1199550,2024,CFS,CF,현금흐름표,배당금지급,0.0,6720000000.0,0.0,15.0,
267260,HD현대에너지솔루션,1199550,2024,CFS,BS,재무상태표,부채총계,84090604074.0,130500000767.0,271292811162.0,40.0,
267260,HD현대에너지솔루션,1199550,2024,CFS,BS,재무상태표,비유동부채,14085583962.0,25246631865.0,33844038147.0,41.0,
267260,HD현대에너지솔루션,1199550,2024,CFS,CIS,포괄손익계산서,영업이익,3502725251.0,17542859732.0,90165877747.0,6.0,
267260,HD현대에너지솔루션,1199550,2024,CFS,CF,현금흐름표,영업활동현금흐름,83448719253.0,75783714561.0,-34582635530.0,28.0,HD현대에너지솔루션_2024_영업활동현금흐름
267260,HD현대에너지솔루션,1199550,2024,CFS,BS,재무상태표,유형자산,87540897757.0,94813335886.0,119449827794.0,21.0,
267260,HD현대에너지솔루션,1199550,2024,CFS,CF,현금흐름표,유형자산의 취득,11670758253.0,8418678975.0,13332246464.0,27.0,
267260,HD현대에너지솔루션,1199550,2024,CFS,BS,재무상태표,자본총계,369683769362.0,371556913092.0,381533148869.0,24.0,
267260,HD현대에너지솔루션,1199550,2024,CFS,BS,재무상태표,재고자산,83409572169.0,168208074370.0,273182424443.0,10.0,
267260,HD현대에너지솔루션,1199550,2024,CFS,CF,현금흐름표,재무활동현금흐름,-34395697995.0,-30049485024.0,-14317041150.0,8.0,
267260,HD현대에너지솔루션,1199550,2024,CFS,BS,재무상태표,총자산,453774373436.0,502056913859.0,652825960031.0,7.0,
267260,HD현대에너지솔루션,1199550,2024,CFS,CF,현금흐름표,투자활동현금흐름,-13801409961.0,-9628704337.0,-10619022853.0,16.0,HD현대에너지솔루션_2024_투자활동현금흐름
267260,HD현대에너지솔루션,1199550,2024,CFS,CIS,포괄손익계산서,판매비와관리비,43898652781.0,45627948213.0,95103388066.0,9.0,
267260,HD현대에너지솔루션,1199550,2023,CFS,CIS,포괄손익계산서,금융비용,15456916666.0,31076398865.0,19282117685.0,14.0,
267260,HD현대에너지솔루션,1199550,2023,CFS,CIS,포괄손익계산서,당기순이익,-2863877616.0,60610132499.0,-6655574104.0,24.0,
267260,HD현대에너지솔루션,1199550,2023,CFS,CIS,포괄손익계산서,매출액,546119805992.0,984812413122.0,593163581874.0,26.0,HD현대에너지솔루션_2023_매출액
267260,HD현대에너지솔루션,1199550,2023,CFS,CIS,포괄손익계산서,매출원가,482948998047.0,799543147309.0,517265307907.0,11.0,
267260,HD현대에너지솔루션,1199550,2023,CFS,BS,재무상태표,매출채권,85357844747.0,,,,
267260,HD현대에너지솔루션,1199550,2023,CFS,BS,재무상태표,무형자산,10174709436.0,8122060250.0,7879508005.0,20.0,
267260,HD현대에너지솔루션,1199550,2023,CFS,CF,현금흐름표,무형자산의 취득,2625599060.0,2111039739.0,2034006959.0,26.0,
267260,HD현대에너지솔루션,1199550,2023,CFS,CF,현금흐름표,배당금지급,6720000000.0,0.0,2240000000.0,14.0,
267260,HD현대에너지솔루션,1199550,2023,CFS,BS,재무상태표,부채총계,130500000767.0,271292811162.0,285239400322.0,41.0,
267260,HD현대에너지솔루션,1199550,2023,CFS,BS,재무상태표,비유동부채,25246631865.0,33844038147.0,29461948620.0,42.0,
267260,HD현대에너지솔루션,1199550,2023,CFS,CIS,포괄손익계산서,영업이익,17542859732.0,90165877747.0,9494797191.0,6.0,
267260,HD현대에너지솔루션,1199550,2023,CFS,CF,현금흐름표,영업활동현금흐름,75783714561.0,-34582635530.0,36486270987.0,28.0,HD현대에너지솔루션_2023_영업활동현금흐름
267260,HD현대에너지솔루션,1199550,2023,CFS,BS,재무상태표,유형자산,94813335886.0,119449827794.0,114247242766.0,22.0,
267260,HD현대에너지솔루션,1199550,2023,CFS,CF,현금흐름표,유형자산의 취득,8418678975.0,13332246464.0,27455099205.0,27.0,
267260,HD현대에너지솔루션,1199550,2023,CFS,BS,재무상태표,자본총계,371556913092.0,381533148869.0,320319488368.0,25.0,
267260,HD현대에너지솔루션,1199550,2023,CFS,BS,재무상태표,재고자산,168208074370.0,273182424443.0,186225623922.0,10.0,
267260,HD현대에너지솔루션,1199550,2023,CFS,CF,현금흐름표,재무활동현금흐름,-30049485024.0,-14317041150.0,13285721172.0,8.0,
267260,HD현대에너지솔루션,1199550,2023,CFS,BS,재무상태표,총자산,502056913859.0,652825960031.0,605558888690.0,7.0,
267260,HD현대에너지솔루션,1199550,2023,CFS,CF,현금흐름표,투자활동현금흐름,-9628704337.0,-10619022853.0,-33691736395.0,15.0,HD현대에너지솔루션_2023_투자활동현금흐름
267260,HD현대에너지솔루션,1199550,2023,CFS,CIS,포괄손익계산서,판매비와관리비,45627948213.0,95103388066.0,66403476776.0,9.0,
61970,HPSP,1288827,2025,OFS,CIS,포괄손익계산서,금융비용,59266722.0,102125314.0,170562900.0,9.0,
61970,HPSP,1288827,2025,OFS,CIS,포괄손익계산서,당기순이익,72662225546.0,86280231062.0,80432402487.0,22.0,
61970,HPSP,1288827,2025,OFS,CIS,포괄손익계산서,매출액,172964572189.0,181401607828.0,179086660832.0,24.0,HPSP_2025_매출액
61970,HPSP,1288827,2025,OFS,CIS,포괄손익계산서,매출원가,46674253537.0,51789962159.0,60497746980.0,13.0,
61970,HPSP,1288827,2025,OFS,BS,재무상태표,매출채권,23153192411.0,,,,
61970,HPSP,1288827,2025,OFS,BS,재무상태표,무형자산,916272822.0,2135179038.0,1706648312.0,16.0,
61970,HPSP,1288827,2025,OFS,CF,현금흐름표,무형자산의 취득,99357251.0,460736588.0,1512653531.0,25.0,
61970,HPSP,1288827,2025,OFS,CF,현금흐름표,배당금지급,48219203400.0,7487141100.0,1813462500.0,14.0,
61970,HPSP,1288827,2025,OFS,BS,재무상태표,부채총계,61476437245.0,41985505352.0,43607317988.0,38.0,
61970,HPSP,1288827,2025,OFS,BS,재무상태표,비유동부채,733890182.0,1025448318.0,2052735389.0,39.0,
61970,HPSP,1288827,2025,OFS,CIS,포괄손익계산서,영업이익,89902342748.0,93945693775.0,95206074427.0,6.0,
61970,HPSP,1288827,2025,OFS,CF,현금흐름표,영업활동현금흐름,100205138390.0,83829271621.0,66377069616.0,27.0,HPSP_2025_영업활동현금흐름
61970,HPSP,1288827,2025,OFS,BS,재무상태표,유형자산,48043652365.0,49298337776.0,40296201560.0,21.0,
61970,HPSP,1288827,2025,OFS,CF,현금흐름표,유형자산의 취득,2329823754.0,43112610428.0,24669654491.0,26.0,
61970,HPSP,1288827,2025,OFS,BS,재무상태표,자본총계,308230752232.0,277910828155.0,277080288653.0,26.0,
61970,HPSP,1288827,2025,OFS,BS,재무상태표,재고자산,15957076752.0,23116428628.0,24223776591.0,11.0,
61970,HPSP,1288827,2025,OFS,CF,현금흐름표,재무활동현금흐름,-48272077072.0,-93933043745.0,-4241573644.0,8.0,
61970,HPSP,1288827,2025,OFS,BS,재무상태표,총자산,369707189477.0,319896333507.0,320687606641.0,7.0,
61970,HPSP,1288827,2025,OFS,CF,현금흐름표,투자활동현금흐름,-19164633777.0,19759115436.0,-147900028722.0,16.0,HPSP_2025_투자활동현금흐름
61970,HPSP,1288827,2025,OFS,CIS,포괄손익계산서,판매비와관리비,36387975904.0,35665951894.0,23382839425.0,11.0,
61970,HPSP,1288827,2024,OFS,CIS,포괄손익계산서,금융비용,102125314.0,170562900.0,175384748.0,17.0,
61970,HPSP,1288827,2024,OFS,CIS,포괄손익계산서,당기순이익,86280231062.0,80432402487.0,66005614943.0,23.0,
61970,HPSP,1288827,2024,OFS,CIS,포괄손익계산서,매출액,181401607828.0,179086660832.0,159336322822.0,12.0,HPSP_2024_매출액
61970,HPSP,1288827,2024,OFS,CIS,포괄손익계산서,매출원가,51789962159.0,60497746980.0,49236155095.0,9.0,
61970,HPSP,1288827,2024,OFS,BS,재무상태표,매출채권,9541217225.0,,,,
61970,HPSP,1288827,2024,OFS,BS,재무상태표,무형자산,2135179038.0,1706648312.0,262534660.0,16.0,
61970,HPSP,1288827,2024,OFS,CF,현금흐름표,무형자산의 취득,460736588.0,1512653531.0,23662146.0,26.0,
61970,HPSP,1288827,2024,OFS,CF,현금흐름표,배당금지급,7487141100.0,1813462500.0,0.0,16.0,
61970,HPSP,1288827,2024,OFS,BS,재무상태표,부채총계,41985505352.0,43607317988.0,65554608357.0,37.0,
61970,HPSP,1288827,2024,OFS,BS,재무상태표,비유동부채,1025448318.0,2052735389.0,2130693436.0,38.0,
61970,HPSP,1288827,2024,OFS,CIS,포괄손익계산서,영업이익,93945693775.0,95206074427.0,85174462019.0,6.0,
61970,HPSP,1288827,2024,OFS,CF,현금흐름표,영업활동현금흐름,97936697981.0,90318133969.0,95979642338.0,30.0,HPSP_2024_영업활동현금흐름
61970,HPSP,1288827,2024,OFS,BS,재무상태표,유형자산,49298337776.0,40296201560.0,10115904933.0,20.0,
61970,HPSP,1288827,2024,OFS,CF,현금흐름표,유형자산의 취득,43112610428.0,24669654491.0,9425707733.0,28.0,
61970,HPSP,1288827,2024,OFS,BS,재무상태표,자본총계,277910828155.0,277080288653.0,195371868774.0,25.0,
