row_no,date,company,stock_code,market,title,acptno,doc_no,doc_url,crime_type,status,amount,equity,equity_pct,severity,accident_date,confirm_date,accident_content,future_plan,note,full_text,parse_error
912,2026-07-01,대진첨단소재,39397,코스닥,기타시장안내(상장폐지 관련 이의신청서 접수),20260701000999,,,,,,,,,,,,,,,"('Connection aborted.', ConnectionResetError(10054, '현재 연결은 원격 호스트에 의해 강제로 끊겼습니다', None, 10054, None))"
911,2026-07-01,코맥스,03669,코스닥,기타시장안내(개선계획 이행내역서 제출),20260701000871,,,,,,,,,,,,,,,"HTTPSConnectionPool(host='kind.krx.co.kr', port=443): Max retries exceeded with url: /common/disclsviewer.do?method=search&acptno=20260701000871&docno=&viewerhost=&viewerport= (Caused by NameResolutionError(""HTTPSConnection(host='kind.krx.co.kr', port=443): Failed to resolve 'kind.krx.co.kr' ([Errno 11001] getaddrinfo failed)""))"
910,2026-06-30,,,,기타시장안내(코스닥시장 시장조성 변경계약 체결 및 시행안내),20260630001209,20260629001279,https://kind.krx.co.kr/external/2026/06/30/001209/20260629001279/70780.htm,기타,,,,,,,,,,,":: 70780_기타시장안내
기타시장안내
< 코스닥시장 시장조성 변경계약 체결 및 시행안내 >
한국거래소는 5개 회원사와 코스닥시장에 대한 시장조성 변경계약을 아래와 같이
체결하여 시행함을 알려드립니다.
1. 시장조성 변경계약기간
- 2026.7.1(수) ~ 2026.12.31(목)
* 5개사 : 교보증권, 다올투자증권,메리츠증권,
씨엘에스에이코리아증권, 한국아이엠씨증권
2. 회원사별 시장조성종목 현황
- 5개 회원사 425개 종목(시장조성계약 체결 세부내역은 첨부자료 참고)
3. 근거규정
- 코스닥시장 업무규정 제12조의7
※ 관련공시 : 기타시장안내(코스닥시장 시장조성계약 체결 및 시행안내, ‘25.12.30)",
909,2026-06-30,이오플로우,29409,코스닥,기타시장안내(상장적격성 실질심사 대상 결정),20260630000776,20260630000822,https://kind.krx.co.kr/external/2026/06/30/000776/20260630000822/70780.htm,후속 시장조치(관리종목/실질심사 등),,,,,,,,,,,":: 70780_기타시장안내
기타시장안내
제목 : 이오플로우㈜ 상장적격성 실질심사 대상 결정
거래소는 이오플로우㈜에 대하여 코스닥시장 상장규정 제56조제1항의 요건에 의한 상장폐지 가능성 등을 검토한 결과, 동사를 상장적격성 실질심사 대상으로 결정하였습니다.
해당 결정에 따라 거래소는 해당 법인에 심사일정 및 절차를 통보하고, 해당 통보일로부터 20일('26.07.29 限, 영업일 기준) 이내에 기업심사위원회의 심의·의결을 거쳐 상장폐지 여부 또는 개선기간 부여 여부를 결정할 예정입니다.
다만, 해당 법인이 통보일로부터 15일('26.07.22 限, 영업일 기준) 이내에 경영개선계획서를 제출하는 경우에는 해당 제출일로부터 20일(영업일 기준) 이내에 기업심사위원회의 심의·의결을 거쳐 상장폐지 여부 또는 개선기간 부여 여부를 결정할 예정입니다.
기업심사위원회 심의·의결을 거쳐 동사의 상장적격성이 인정되는 경우에는 동사 주권의 매매거래정지 해제 등 관련 사항을 안내할 예정이고,
기업심사위원회의 심의·의결 결과가 개선기간 부여에 해당하는 경우에는 개선기간 종료 후 기업심사위원회의 심의·의결을 거쳐 상장폐지 여부를 결정할 예정이며,
기업심사위원회 심의·의결 결과가 상장폐지에 해당하는 경우에는 동사는 코스닥시장 상장규정 제58조 및 동 시행세칙 제63조의 규정에 따라 상장폐지에 대한 통보를 받은 날로부터 15일(영업일 기준) 이내에 이의신청을 할 수 있으며, 이의신청이 없는 경우 이의신청 만료일 경과 후 상장폐지 절차가 진행될 예정입니다.
동사의 이의신청이 있는 경우 동 이의신청을 받은 날로부터 20일(영업일 기준) 이내에 코스닥시장위원회를 개최하여 상장폐지 여부(개선기간 부여 여부 포함)를 결정할 예정임을 알려드립니다.",
908,2026-06-29,DGI,09952,코스닥,기타시장안내(코스닥시장위원회 심의·의결 결과 및 개선기간 부여 안내),20260629001336,,,,,,,,,,,,,,,"('Connection aborted.', ConnectionResetError(10054, '현재 연결은 원격 호스트에 의해 강제로 끊겼습니다', None, 10054, None))"
907,2026-06-26,다원시스,06824,코스닥,기타시장안내(개선계획서 제출),20260626000811,,,,,,,,,,,,,,,"HTTPSConnectionPool(host='kind.krx.co.kr', port=443): Max retries exceeded with url: /common/disclsviewer.do?method=search&acptno=20260626000811&docno=&viewerhost=&viewerport= (Caused by NameResolutionError(""HTTPSConnection(host='kind.krx.co.kr', port=443): Failed to resolve 'kind.krx.co.kr' ([Errno 11001] getaddrinfo failed)""))"
906,2026-06-26,유틸렉스,26305,코스닥,기타시장안내(상장적격성 실질심사 관련 안내),20260626000583,,,,,,,,,,,,,,,"HTTPSConnectionPool(host='kind.krx.co.kr', port=443): Max retries exceeded with url: /common/disclsviewer.do?method=search&acptno=20260626000583&docno=&viewerhost=&viewerport= (Caused by NameResolutionError(""HTTPSConnection(host='kind.krx.co.kr', port=443): Failed to resolve 'kind.krx.co.kr' ([Errno 11001] getaddrinfo failed)""))"
905,2026-06-25,아크솔루션스,20369,코스닥,기타시장안내(상장폐지결정 효력정지 가처분 신청 기각에 따른 정리매매절차 재개),20260625000840,,,,,,,,,,,,,,,"HTTPSConnectionPool(host='kind.krx.co.kr', port=443): Max retries exceeded with url: /common/disclsviewer.do?method=search&acptno=20260625000840&docno=&viewerhost=&viewerport= (Caused by NameResolutionError(""HTTPSConnection(host='kind.krx.co.kr', port=443): Failed to resolve 'kind.krx.co.kr' ([Errno 11001] getaddrinfo failed)""))"
904,2026-06-24,드래곤플라이,03035,코스닥,기타시장안내(기업심사위원회 심의·의결 결과 및 개선기간 부여 안내),20260624000993,,,,,,,,,,,,,,,"HTTPSConnectionPool(host='kind.krx.co.kr', port=443): Max retries exceeded with url: /common/disclsviewer.do?method=search&acptno=20260624000993&docno=&viewerhost=&viewerport= (Caused by NameResolutionError(""HTTPSConnection(host='kind.krx.co.kr', port=443): Failed to resolve 'kind.krx.co.kr' ([Errno 11001] getaddrinfo failed)""))"
903,2026-06-24,시큐레터,41825,코스닥,기타시장안내(기업심사위원회 개최 결과 안내),20260624000978,,,,,,,,,,,,,,,"HTTPSConnectionPool(host='kind.krx.co.kr', port=443): Max retries exceeded with url: /common/disclsviewer.do?method=search&acptno=20260624000978&docno=&viewerhost=&viewerport= (Caused by NameResolutionError(""HTTPSConnection(host='kind.krx.co.kr', port=443): Failed to resolve 'kind.krx.co.kr' ([Errno 11001] getaddrinfo failed)""))"
